date,cryptotype,close_percentage,open_percentage
2020-06-19,Doge,-99.30563344037266,-99.31513792015465
2020-06-18,Doge,-99.3101754632208,-99.30050045967863
2020-06-17,Doge,-99.2959815674628,-99.30162642321825
2020-06-16,Doge,-99.29711708969873,-99.2957151801744
2020-06-15,Doge,-99.28945238070176,-99.31373046573012
2020-06-14,Doge,-99.28405865008106,-99.29177430778567
2020-06-13,Doge,-99.28405865008106,-99.2926187804404
2020-06-12,Doge,-99.28576193343497,-99.29993747790881
2020-06-11,Doge,-99.2942782841089,-99.27291454957525
2020-06-10,Doge,-99.26674206817422,-99.2785443672734
2020-06-09,Doge,-99.27185191823594,-99.28051480346775
2020-06-08,Doge,-99.2741229627078,-99.27178865157481
2020-06-07,Doge,-99.26560661203389,-99.27094417892009
2020-06-06,Doge,-99.26475497035693,-99.2715071606899
2020-06-05,Doge,-99.26617437315186,-99.26221802702713
2020-06-04,Doge,-99.26049676197218,-99.27572945842432
2020-06-03,Doge,-99.26589049259287,-99.2754479675394
2020-06-02,Doge,-99.26901311264609,-99.25884013640824
2020-06-01,Doge,-99.25198041129825,-99.27122566980499
2020-05-31,Doge,-99.26901311264609,-99.2785443672734
2020-05-30,Doge,-99.26418720923897,-99.28417411943236
2020-05-29,Doge,-99.27838110499697,-99.28670753739654
2020-05-28,Doge,-99.28121991058681,-99.2923372895555
2020-05-27,Doge,-99.28604581399395,-99.2959966710593
2020-05-26,Doge,-99.28945238070176,-99.2858630647418
2020-05-25,Doge,-99.28008438835087,-99.29177430778567
2020-05-24,Doge,-99.28632969455293,-99.28304815589273
2020-05-23,Doge,-99.27696170220206,-99.28473710120218
2020-05-22,Doge,-99.27866498555596,-99.29712263459894
2020-05-21,Doge,-99.2903040223787,-99.29402623486494
2020-05-20,Doge,-99.28803297790684,-99.28952244624561
2020-05-19,Doge,-99.27980050779189,-99.29768561636875
2020-05-18,Doge,-99.2886007390248,-99.2785443672734
2020-05-17,Doge,-99.2724196793539,-99.28980393713053
2020-05-16,Doge,-99.28405865008106,-99.29487070751966
2020-05-15,Doge,-99.28888461958378,-99.28642604651162
2020-05-14,Doge,-99.28121991058681,-99.29036685336114
2020-05-13,Doge,-99.28491029175801,-99.2990930052541
2020-05-12,Doge,-99.29285888131398,-99.31204152042066
2020-05-11,Doge,-99.30591732093164,-99.31204152042066
2020-05-10,Doge,-99.31102710489776,-99.26672181564646
2020-05-09,Doge,-99.3101754632208,-99.26221802702713
2020-05-08,Doge,-99.25737414191894,-99.25827715463842
2020-05-07,Doge,-99.25368369465215,-99.29092983513095
2020-05-06,Doge,-99.28491029175801,-99.3030338776428
2020-05-05,Doge,-99.29654932858077,-99.30697475003151
2020-05-04,Doge,-99.3010914175245,-99.30922661157157
2020-05-03,Doge,-99.30336239590079,-99.27995182169795
2020-05-02,Doge,-99.27327132103085,-99.30444133206734
2020-05-01,Doge,-99.29825261193467,-99.30669325914661
2020-04-30,Doge,-99.30393015701875,-99.26925523361064
2020-04-29,Doge,-99.26333556756201,-99.34187929206412
2020-04-28,Doge,-99.3374277985965,-99.33878295786933
2020-04-27,Doge,-99.33657615691955,-99.33174575128582
2020-04-26,Doge,-99.32607270842831,-99.39536216696145
2020-04-25,Doge,-99.39079694711191,-99.41365894340207
2020-04-24,Doge,-99.4109523346086,-99.41562937959644
2020-04-23,Doge,-99.41577823801573,-99.43645950846202
2020-04-22,Doge,-99.43224317824561,-99.44546715123988
2020-04-21,Doge,-99.44274669283243,-99.44434125323946
2020-04-20,Doge,-99.43735302830731,-99.42632596768374
2020-04-19,Doge,-99.42088808807745,-99.42435553148938
2020-04-18,Doge,-99.42145584919541,-99.4350521195767
2020-04-17,Doge,-99.43167541712764,-99.43927441731111
2020-04-16,Doge,-99.43706914774833,-99.46404545133502
2020-04-15,Doge,-99.45637286052028,-99.44659311477952
2020-04-14,Doge,-99.44331445395039,-99.44997100539842
